city,year,tavg,tmin,tmax,prcp
Mumbai_1990_2022_Santacruz,2011,27.938082191780822,22.008860759493672,32.74848484848485,2701.4
Mumbai_1990_2022_Santacruz,2012,27.605464480874318,21.75537974683544,32.26213017751479,2060.8
Mumbai_1990_2022_Santacruz,2013,27.63342465753425,21.877399380804953,32.137888198757764,2452.9
Mumbai_1990_2022_Santacruz,2014,28.184383561643834,24.685714285714287,32.507051282051286,2300.5
Mumbai_1990_2022_Santacruz,2015,28.67150684931507,23.741218637992834,33.06634920634921,1765.8
Mumbai_1990_2022_Santacruz,2016,28.243169398907103,22.34071038251366,32.05272206303725,3036.4
Mumbai_1990_2022_Santacruz,2017,28.553972602739726,22.571546961325964,32.41002949852508,3054.4
Mumbai_1990_2022_Santacruz,2018,28.763835616438353,22.76054794520548,32.565070422535214,2159.4
Mumbai_1990_2022_Santacruz,2019,28.266027397260274,22.945753424657536,31.842191780821917,3565.4
Mumbai_1990_2022_Santacruz,2020,28.39808743169399,23.28169398907104,32.07786885245902,3419.5
Mumbai_1990_2022_Santacruz,2021,28.484383561643835,24.119999999999997,32.233972602739726,3291.9
Mumbai_1990_2022_Santacruz,2022,28.337864077669906,24.3995145631068,32.324271844660196,1479.7
Rajasthan_1990_2022_Jodhpur,1990,23.7031339031339,19.093454545454545,29.437049180327868,667.0
Rajasthan_1990_2022_Jodhpur,1991,23.62611111111111,18.9854609929078,29.373870967741933,1099.4
Rajasthan_1990_2022_Jodhpur,1992,23.224147727272726,18.485992217898833,29.207096774193552,717.0
Rajasthan_1990_2022_Jodhpur,1993,23.637673130193907,18.708783783783783,29.578996865203763,821.4
Rajasthan_1990_2022_Jodhpur,1994,23.42707182320442,18.872340425531913,29.233650793650796,770.6
Rajasthan_1990_2022_Jodhpur,1995,23.88861111111111,19.169155844155846,29.49230769230769,950.5
Rajasthan_1990_2022_Jodhpur,1996,23.63361111111111,18.95777027027027,29.766564417177914,908.0
Rajasthan_1990_2022_Jodhpur,1997,23.667222222222225,19.47142857142857,29.9328025477707,1078.5
